epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,6062.63,0.45555,0.2509,0.83176,0.72324,0.75106,0.78588,0.54244,0.90638,0.72413,1.07184,0.000225068,0.000225068,0.000225068
78,6141.39,0.45213,0.25164,0.83049,0.81692,0.71021,0.79737,0.54666,0.89903,0.69552,1.06866,0.000216069,0.000216069,0.000216069
79,6220.1,0.4573,0.24919,0.83038,0.79351,0.73603,0.81005,0.55867,0.89524,0.68234,1.07616,0.00020707,0.00020707,0.00020707
80,6298.87,0.44977,0.25021,0.83606,0.81304,0.71303,0.80878,0.55554,0.89646,0.70511,1.07189,0.000198071,0.000198071,0.000198071
81,6377.26,0.45386,0.24778,0.83614,0.78004,0.72414,0.80045,0.55608,0.88992,0.69383,1.06332,0.000189072,0.000189072,0.000189072
82,6455.88,0.4458,0.24237,0.83269,0.74462,0.76558,0.81211,0.55589,0.9025,0.68856,1.07261,0.000180073,0.000180073,0.000180073
83,6534.34,0.44302,0.24288,0.8315,0.78688,0.74028,0.80564,0.55604,0.89623,0.68862,1.07153,0.000171074,0.000171074,0.000171074
84,6613.1,0.43361,0.23942,0.83015,0.77878,0.72928,0.80204,0.55288,0.88353,0.69611,1.05437,0.000162075,0.000162075,0.000162075
85,6691.9,0.43701,0.24095,0.82803,0.81691,0.72395,0.80768,0.558,0.89066,0.68628,1.05772,0.000153076,0.000153076,0.000153076
86,6770.63,0.44035,0.2376,0.82911,0.80388,0.72417,0.80033,0.55157,0.89715,0.70185,1.06518,0.000144077,0.000144077,0.000144077
87,6849.42,0.42799,0.2368,0.82676,0.80303,0.72336,0.80476,0.55838,0.88408,0.68441,1.05507,0.000135077,0.000135077,0.000135077
88,6928.04,0.42267,0.2323,0.82344,0.75274,0.74725,0.79852,0.55871,0.87662,0.69181,1.04908,0.000126078,0.000126078,0.000126078
89,7006.52,0.42414,0.23135,0.82645,0.79838,0.71235,0.78863,0.55021,0.88355,0.7147,1.05547,0.000117079,0.000117079,0.000117079
90,7084.79,0.41337,0.22598,0.82049,0.79755,0.70863,0.78989,0.55211,0.88667,0.70673,1.05225,0.00010808,0.00010808,0.00010808
91,7163.26,0.65762,0.34967,0.90633,0.7475,0.7501,0.79764,0.5538,0.88151,0.69189,1.04368,9.9081e-05,9.9081e-05,9.9081e-05
92,7241.3,0.63624,0.34214,0.89169,0.77879,0.74856,0.79949,0.55381,0.87987,0.65964,1.04541,9.00819e-05,9.00819e-05,9.00819e-05
93,7319.53,0.63361,0.33866,0.89167,0.76316,0.72707,0.80055,0.55509,0.88369,0.68856,1.05372,8.10828e-05,8.10828e-05,8.10828e-05
94,7397.53,0.62974,0.33308,0.89542,0.7587,0.74927,0.80203,0.55367,0.88805,0.68315,1.05748,7.20837e-05,7.20837e-05,7.20837e-05
95,7475.76,0.62807,0.32724,0.89302,0.83677,0.71199,0.81201,0.55835,0.87986,0.68062,1.04495,6.30846e-05,6.30846e-05,6.30846e-05
96,7553.67,0.62338,0.32278,0.8936,0.80421,0.7426,0.81797,0.56796,0.87909,0.6529,1.04782,5.40855e-05,5.40855e-05,5.40855e-05
97,7632.23,0.60982,0.31535,0.88242,0.81134,0.73866,0.81293,0.56615,0.87579,0.64828,1.04862,4.50864e-05,4.50864e-05,4.50864e-05
98,7710.11,0.60965,0.31011,0.888,0.79056,0.72813,0.80939,0.5633,0.87461,0.66891,1.0429,3.60873e-05,3.60873e-05,3.60873e-05
99,7788.2,0.5978,0.30426,0.87946,0.78541,0.74304,0.81017,0.56623,0.87205,0.67189,1.04144,2.70882e-05,2.70882e-05,2.70882e-05
100,7866.49,0.59827,0.30462,0.87593,0.78963,0.75075,0.81265,0.56722,0.87325,0.67979,1.04454,1.80891e-05,1.80891e-05,1.80891e-05
